"","Dataset","Top_1_Accuracy","Top_3_Accuracy","Top_5_Accuracy","Prediction_Speed","Memory_Usage_in_Mb"
"1","In Sample Data","12.46%","20.92%","24.91%","20.08 msec per prediction","594.11"
"2","Out-of-Sample Data","11.96%","19.88%","24.17%","18.21 msec per prediction","594.11"
