"","Basic_Stats","1-gram","2-gram","3-gram","4-gram","5-gram"
"1","Unique Tokens","307249","6202257","18139720","26251173","28040734"
"2","Total Tokens","52021086","46154476","40863030","36052692","31695016"
"3","Top 5 Token Coverage","19.53%","2.63%","0.62%","0.17%","0.06%"
"4","Unique Tokens for 50%","65","13089","892404","8224827","12193226"
"5","Unique Tokens for 75%","745","205126","7923963","17238000","20116980"
"6","Unique Tokens for 90%","4779","1747562","14053417","22645904","24871233"
"7","Unique Tokens for 99%","57261","5740713","17731090","25890647","27723784"
